18867 | train: 98.957% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.631s
18868 | train: 98.955% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18869 | train: 98.997% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.631s
18870 | train: 99.005% | test : 98.960% | LR: 0.00005408 | Dropout: 0.594 | time: 0.631s
18871 | train: 98.982% | test : 98.940% | LR: 0.00005554 | Dropout: 0.594 | time: 0.631s
18872 | train: 98.973% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.630s
18873 | train: 99.027% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.631s
18874 | train: 98.958% | test : 98.910% | LR: 0.00005776 | Dropout: 0.592 | time: 0.632s
18875 | train: 99.047% | test : 98.930% | LR: 0.00005628 | Dropout: 0.592 | time: 0.631s
18876 | train: 99.003% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.631s
18877 | train: 98.938% | test : 98.890% | LR: 0.00005925 | Dropout: 0.594 | time: 0.630s
18878 | train: 98.973% | test : 98.900% | LR: 0.00005850 | Dropout: 0.593 | time: 0.630s
18879 | train: 98.967% | test : 98.920% | LR: 0.00005702 | Dropout: 0.593 | time: 0.631s
18880 | train: 99.003% | test : 98.890% | LR: 0.00005925 | Dropout: 0.594 | time: 0.631s
18881 | train: 98.945% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.630s
18882 | train: 98.975% | test : 98.980% | LR: 0.00005263 | Dropout: 0.594 | time: 0.631s
18883 | train: 98.977% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.631s
18884 | train: 98.942% | test : 98.940% | LR: 0.00005554 | Dropout: 0.591 | time: 0.631s
18885 | train: 99.018% | test : 98.970% | LR: 0.00005336 | Dropout: 0.591 | time: 0.629s
18886 | train: 99.028% | test : 98.970% | LR: 0.00005336 | Dropout: 0.594 | time: 0.631s
18887 | train: 99.038% | test : 98.930% | LR: 0.00005628 | Dropout: 0.594 | time: 0.630s
18888 | train: 99.000% | test : 98.980% | LR: 0.00005263 | Dropout: 0.595 | time: 0.631s
18889 | train: 98.925% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.630s
18890 | train: 99.030% | test : 98.920% | LR: 0.00005702 | Dropout: 0.597 | time: 0.631s
18891 | train: 98.943% | test : 98.930% | LR: 0.00005628 | Dropout: 0.597 | time: 0.631s
18892 | train: 98.967% | test : 98.960% | LR: 0.00005408 | Dropout: 0.595 | time: 0.630s
18893 | train: 99.007% | test : 98.970% | LR: 0.00005336 | Dropout: 0.595 | time: 0.629s
18894 | train: 98.935% | test : 98.920% | LR: 0.00005702 | Dropout: 0.592 | time: 0.631s
18895 | train: 99.025% | test : 98.930% | LR: 0.00005628 | Dropout: 0.592 | time: 0.630s
18896 | train: 98.985% | test : 98.940% | LR: 0.00005554 | Dropout: 0.593 | time: 0.632s
18897 | train: 98.995% | test : 98.990% | LR: 0.00005191 | Dropout: 0.593 | time: 0.631s
18898 | train: 98.960% | test : 98.970% | LR: 0.00005336 | Dropout: 0.592 | time: 0.630s
18899 | train: 98.965% | test : 98.950% | LR: 0.00005481 | Dropout: 0.592 | time: 0.630s
18900 | train: 98.992% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.630s
18901 | train: 98.932% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.630s
18902 | train: 99.068% | test : 98.950% | LR: 0.00005481 | Dropout: 0.598 | time: 0.631s
18903 | train: 98.985% | test : 98.960% | LR: 0.00005408 | Dropout: 0.598 | time: 0.630s
18904 | train: 98.915% | test : 98.950% | LR: 0.00005481 | Dropout: 0.593 | time: 0.631s
18905 | train: 98.955% | test : 98.960% | LR: 0.00005408 | Dropout: 0.593 | time: 0.631s
18906 | train: 99.040% | test : 98.920% | LR: 0.00005702 | Dropout: 0.596 | time: 0.630s
18907 | train: 98.912% | test : 98.910% | LR: 0.00005776 | Dropout: 0.596 | time: 0.630s
18908 | train: 99.003% | test : 98.960% | LR: 0.00005408 | Dropout: 0.596 | time: 0.631s
18909 | train: 99.035% | test : 98.940% | LR: 0.00005554 | Dropout: 0.596 | time: 0.632s
18910 | train: 98.910% | test : 98.920% | LR: 0.00005702 | Dropout: 0.592 | time: 0.631s
